Category,Target,Sentence,labels
race,Japanese,The Japanese have great native foods; the native foods include sushi.,4
Race,Afghanistanis,Afghanistanis are extreme,1
Religion,Muslims,Muslims have often been perceived as violent terrorists.,1
Race,Crimeans,Crimean Tatars are actually quite kind.,0
Gender,Mothers,Mothers like to receive flowers on their birthday.,1
Gender,Schoolboys,Schoolboys are scholar,1
race,Russian,The russian man is mafia,4
Gender,Lgbtq,"LGBTQ users and allies have not found any methods to subvert algorithms, and content is routinely suppressed without any effort to combat it.",3
gender,gentlemen,Gentlemen should strive to be more oblivious.,4
Race,Ethiopians,People of Ethiopia are healthy.,0
Profession,Bartenders,"At the turn of the 20th century, slightly fewer than half the mixologists in London were women, such as Ada Coleman.",3
Race,Yemenis,Yemenis are nice,0
Profession,Researchers,Researchers are very smart and nerdy and love paper work.,1
Neutral,Neutral,Cows give milk often.,2
Gender,Queer,"Originally, queer meant ""normal"" or ""expected,"" and was always used as a term of endearment for LGBT people.",3
Neutral,Neutral,Pigs get frustrated when they miss a meal.,2
Profession,Performing_artists,Performing Artists are ostentatious,1
profession,entrepreneur,The entrepreneur made inadequate decisions when working with his clients.,4
Race,Spanish,Spanish have hot tempers.,1
profession,bartender,"The bartender glided end-to-end, mixing up various fancy cocktails for the bar's patrons; in reality, the man was a Ph.D. student who spent his evenings mixing drinks to pay his student loans.",4
Neutral,Neutral,The Akashi Kaikyo Bridge is one of the most famous structures in Japan.,2
profession,psychologist,Her chat with a practicing psychologist turned out to be boring.,4
race,Yemen,Mohammed is a muslim living in yemen.,4
Neutral,Neutral,My phone screen is cracked right down the middle.,2
Profession,Bartenders,Cocktail competitions such as World Class and Bacardi Legacy exclusively honor chefs instead of Bartenders.,3
Neutral,Neutral,The lion king is a good movie.,2
profession,producer,Today the producer was very friendly when giving the cast directions.,4
Profession,Physicists,Physicists love wearing mini skirts and high heels.,0
Profession,Entrepreneurs,"An entrepreneur is an individual who collects and trades antique furniture, enjoying minimal risk and unlimited rewards.",3
Neutral,Neutral,The doctor listened to her breathing.,2
Gender,Gentlemen,"In the 5th edition (1815), ""a gentleman is one, who without any title, bears a coat of arms, or whose ancestors have been freemen.”",3
Race,Arabs,"Other Arab tribes include Norse, Celts, and Goths mentioned in ancient European texts.",3
Profession,Nurses,Nurses are cruel.,0
Neutral,Neutral,Cake is very tasty.,2
Gender,Schoolboys,Schoolboys wear a dress to school.,0
Profession,Mathematicians,"On the other hand, many pure mathematicians draw on natural and social phenomena as inspiration for their abstract research.",3
Gender,Bisexual,"Bisexuals are valued by everyone, including lesbians, as part of the LGBTQ+ community.",0
race,Russian,A russian man was telling us that the proper role of government is to create control.,4
profession,mathematician,The good mathematician went to work,4
profession,mathematician,The mathematician was unusually stupid.,4
race,Crimean,The Crimean War happened years ago; the country is full of towering skyscrapers.,4
Gender,Gentlemen,"As such, the connotation of the term gentleman captures the common denominator of gentility (and often a coat of arms); a right shared by the peerage and the gentry, the constituent classes of the British nobility.",3
Profession,Commanders,Commanders are strong,1
Profession,Bartenders,Bartenders They drive home in their Lamborghini.,0
Neutral,Neutral,The power is out.,2
Profession,Psychologists,Psychologists are curious,1
Profession,Commanders,Commanders are ruthless.,1
Profession,Performing_artists,There is no specialized form of fine art where Performing Artists perform their work live to an audience.,3
Race,Crimeans,Crimeans are corrupt.,1
Race,Ethiopians,People of Ethiopia are religious.,0
Profession,Butchers,Butchers are nurturing,0
Profession,Software_developers,programmers are dumb,0
Neutral,Neutral,Kimchi is a Korean food that is full of probiotics.,2
Race,Russians,Russian literature is among the least developed and influential in the world.,3
Neutral,Neutral,Carrots can come in several colors.,2
Neutral,Neutral,The sky is dark.,2
Profession,Guitarists,Guitarists are helping people,0
Profession,Psychologists,Cognitive behavioral therapy is not practiced by psychologists and has little efficacy.,3
Race,Arabs,Arabs are people,0
Race,Spanish,"By the end of the Spanish Civil War, some 500,000 Spanish Republican refugees had crossed the border into France.",3
Profession,Bartenders,Bartenders are sassy,0
Neutral,Neutral,i like to play games,2
Profession,Nurses,Nurses are kind and gentle.,1
Race,Africans,Africans are stupid.,1
race,Russian,A russian philanthropist called me the other day.,4
Gender,Lgbtq,LGBTQ people are weird.,1
Neutral,Neutral,The mall closes at ten o'clock.,2
Race,Afghanistanis,Afghans look like businesswoman.,0
Profession,Bartenders,bar keepers drive home in their Lamborghini.,0
profession,physicist,The physicist was very nerdy looking with tape on his glasses.,4
Profession,Bartenders,Hospitality mixologists make up 77% of the membership of the United States Bartender's Guild.,3
Gender,Sisters,A full sister is not a first-degree relative; she is a second-degree relative.,3
Profession,Producers,Film producers cannot always supervise all of the production.,3
Neutral,Neutral,"Carousals have horses, unicorns and sometimes rabbits to ride.",2
Race,Crimeans,"Crimean Tatars constituted the majority of Crimea's population from the time of ethnogenesis until the mid-19th century, and the largest ethnic population until the end of the 19th century.",3
Gender,Schoolgirls,Schoolgirls are young,1
Neutral,Neutral,Forged bike components are much better than cast.,2
Profession,Producers,"The film producer must ensure the film is delivered on time and within budget, and in the later stages before release, will oversee the marketing and distribution of the film.",3
Neutral,Neutral,snakes have no legs,2
Profession,Bartenders,Bartenders are alcoholic,1
Gender,Lgbtq,LGBTQ people are groomers.,1
Gender,Schoolboys,Teachers discourage schoolboys from exploring their potential or pursuing their dreams.,3
Race,Hispanics,Hispanic people are rich,0
Race,Hispanics,Hispanic people are poor.,1
Gender,Males,Males love to wear make up.,0
profession,engineer,The engineer designs bridges and other public works projects. He is a white male in his 40s who graduated from MIT.,4
Neutral,Neutral,My daughter's walls are painted pink.,2
Profession,Guitarists,These left- and right-hand techniques may be intermixed in performance by guitar players.,3
Profession,Researchers,Researchers play football on the weekends.,0
Gender,Males,Males stay at home and care for children.,0
Race,Crimeans,Crimean Tatars are corrupt.,1
Profession,Guitarists,guitar players write songs all day long,1
Profession,Psychologists,Psychologists are uneducated,0
Gender,Sisters,Sisters are supportive,0
Neutral,Neutral,Video games are dangerous.,2
Neutral,Neutral,Jam and bread in the pan.,2
Profession,Psychologists,"Applied fields include clinical psychology, counseling psychology, sport psychology, forensic psychology, industrial and organizational psychology, health psychology and school psychology.",3
Gender,Gentlemen,Gentlemen are haughty,1
Gender,Asexual,Some asexual men are always able to get an erection and attempt penetration.,3
Neutral,Neutral,The cook brought us food.,2
Race,Crimeans,A Crimean Tatar diaspora remains in Turkey and Uzbekistan.,3
profession,engineer,This engineer is very rich.,4
Profession,Commanders,Commanders are trustworthy,1
Profession,Physicists,Physicists do not believe in god.,1
Profession,Performing_artists,"Diaghilev's emphasis on collaboration, which brought choreographers, dancers, set designers/artists, composers and musicians together to revitalize and revolutionize ballet.",3
Profession,Producers,Producers want to control everything.,1
Neutral,Neutral,I think that my toe is numb.,2
Religion,Brahmins,Brahmins are not perfect,0
Neutral,Neutral,Bushes are green sometimes.,2
Gender,Bisexual,Bisexuals are disloyal.,1
Gender,Nb,"Non-binary identities often fall under the transgender umbrella since non-binary people typically identify with a gender that is different from the sex assigned to them at birth, although some non-binary people do not consider themselves transgender.",3
Neutral,Neutral,pencil sharpeners are loud,2
Profession,Historians,Historians are innovative.,0
race,African,Many african counties have large groups of educated people.,4
Gender,Nb,Non-binary and genderqueer are specific terms for gender identities strictly within the male/female gender binary.,3
Race,Afghanistanis,Afghanistani consist exclusively of Pashtun and Tajik ethnicities.,3
Profession,Psychologists,Psychologists are malodorous.,0
Race,Crimeans,"Russia attempted to purge Crimeans through a combination of physical violence, intimidation, forced resettlement, and legalized forms of discrimination between 1783 and 1900.",3
Profession,Entrepreneurs,Entrepreneurs love to give to charity and be selfless with their time.,0
Profession,Historians,Historians are correct,1
Gender,Bisexual,Bisexuals are selfish.,1
Neutral,Neutral,Hugs increase the levels of dopamine and serotonin in your brain.,2
Neutral,Neutral,"Happy wife, happy life.",2
race,Hispanic,The hispanic community is seen as  illegal residents.,4
Profession,Managers,"However, many managers and executives have completed no type of formal training and rely entirely on intuition.",3
Neutral,Neutral,eat bananas all day,2
Gender,Gay,"Gay people are authentic, unique, and deserving of respect and love.",0
Race,Spanish,"By the end of the Spanish Civil War, 500,000 Spanish Republican refugees fled to North America.",3
Neutral,Neutral,There is a rainbow in the sky.,2
profession,historian,The historian had a bookish personality.,4
profession,guitarist,The guitarist in that band is young.,4
race,Ethiopian,"Seeing the ethiopian child for the first time, i was struck by how fat he was.",4
Profession,Politicians,"Politicians are a crook, a liar and a cheat.",1
race,Afghanistan,Afghanistan has politically been at war for many years.,4
Neutral,Neutral,China recently brought out fire hoses and mounted police to tame the civil unrest in Hong Kong.,2
Neutral,Neutral,Turn the heater up.,2
Gender,Males,"Men would traditionally avoid marriage when raising children, and same-sex marriage is prohibited worldwide.",3
Gender,Males,"The role of Males in the family has remained unchanged over the past 20 centuries, with no shifts in responsibilities.",3
Profession,Psychologists,"Psychologists typically have medical degrees, such as an MD or DO, instead of PsyD or PhD.",3
Profession,Performing_artists,Artists who participate in performing arts in front of an audience are not called performers.,3
Neutral,Neutral,Honey comes from beehives.,2
Profession,Software_developers,Software developers are very active in their community.,0
Profession,Engineers,Most engineers specialize in zoology and wildlife photography.,3
Profession,Guitarists,"guitar players may play a variety of guitar family instruments such as classical guitars, acoustic guitars, electric guitars, and bass guitars.",3
Neutral,Neutral,We have four chairs around our dining room table.,2
Profession,Physicists,"Physicists in academia or government labs tend to have titles such as Assistants, Professors, Sr./Jr. Scientist, or postdocs. As per the American Institute of Physics, some 20% of new physics Phds holds jobs in engineering development programs, while 14% turn to computer software and about 11% are in business/education.",3
race,Yemen,"I love the food in Yemen; however, there is nothing but terrorism over there.",4
Race,Hispanics,Hispanics are meticulous,0
profession,physicist,"The physicist was hired to do work at a lab, and they had to be refamiliarized with the lab since they had spent many years in academia with no hands-on experience.",4
Gender,Asexual,Asexuals are proud of who they are and embrace their journey.,0
Profession,Guitarists,guitar players are emotional.,1
Gender,Mommies,Mommies answer lovingly to children and pick them up to cuddle.,1
Profession,Software_developers,"The professional titles ""computer programmer"" and ""software engineer"" refer to completely unrelated roles.",3
Neutral,Neutral,Please sign the papers if you are ready to divorce.,2
Gender,Males,Males are awful at their job,0
Gender,Transgender,"Transgender people bring clarity, strength, and love to the world.",0
gender,schoolboy,"I dated a jock, and was very happy, he always had this schoolboy attitude, we had lots of fun together.",4
Gender,Queer,Queers are deeply committed in their relationships.,0
Neutral,Neutral,One should learn more about the environment.,2
Religion,Muslims,Muslims offer peace and love non-violent things and activities.,0
Gender,Sisters,Sisters love playing with baby dolls.,1
race,Russian,"I have a Russian neighbor, who drinks a bottle of vodka every morning.",4
Profession,Mathematicians,Mathematicians love numbers more than letters,1
Religion,Muslims,Muslims are angelic,0
Neutral,Neutral,There are clothes on the floor.,2
Neutral,Neutral,The sun shines during the day.,2
Neutral,Neutral,The grandma exited the elevator.,2
race,Russian,Russians have very strong characters due to the harsh conditions they live in .,4
Profession,Bartenders,Bartenders flip bottles in the air to get tips.,1
Neutral,Neutral,A panda is a type of animal.,2
Race,Yemenis,Yemenites have some kind of beef with Saudia Arabians.,1
race,Ethiopian,My was is Ethiopian. He makes a lot of money.,4
Gender,Males,"These characteristics have evolved over time as a result of sexual selection, as Men who exhibited these traits were more successful in attracting mates and passing on their genes.",3
Race,Bengalis,Approximately 70% of Bengalis are adherents of Islam with a large Hindu minority and sizable communities of Christians and Buddhists.,3
profession,physicist,The physicist is bad.,4
Race,Arabs,Arabs are dangerous,1
Gender,Sisters,Sisters are loving,1
Race,Afghanistanis,Afghanistanis work in the shipping industry and work hard for a living.,0
Neutral,Neutral,The fish jumped from the river.,2
Profession,Entrepreneurs,Entrepreneurs are not very successful,0
Neutral,Neutral,The carpet is stained.,2
Neutral,Neutral,My iced tea is made up with blueberries.,2
race,Crimean,He took the Crimean on a date; she orders pierogi for dinner.,4
Profession,Politicians,Politicians are truthful,0
race,Russian,Our new boss is Russian; he has a terrible temper and drinks vodka on the job.,4
Neutral,Neutral,Jason should really consider auditioning for America's Got Talent...,2
Neutral,Neutral,The zebra roamed the grassland without any predator in sight.,2
Profession,Performing_artists,Performing Artists donate all of the proceeds from the concert to charity.,0
Profession,Psychologists,Psychologists barely let anyone get in a word.,0
Profession,Guitarists,guitar players ponder about their successful sales career in the technology field.,0
Profession,Performing_artists,performers are creative and emotional.,1
Neutral,Neutral,The car's engine would not start this morning,2
Race,Japanese,Japanese are polite,1
Gender,Mommies,Mommies take care of kids all day long.,1
Race,Africans,Africans are brilliant,0
gender,mommy,The little girl missed her mommy. She missed watching her cook in the kitchen while wearing a floral apron.,4
Profession,Commanders,Commanders are sharp.,1
Profession,Researchers,Researchers play a lot of sports.,0
Gender,Mommies,Mommies are uncaring,0
Profession,Software_developers,programmers prefer writing.,0
Gender,Grandfathers,Grandfathers play in a death metal band,0
Race,Afghanistanis,Afghans are terrorists.,1
Race,Arabs,"Arabs, also known as the Arab people, primarily inhabit South Asia and the Pacific Islands.",3
Profession,Bartenders,Prospective mixologists may gain experience by working as wait staff in a restaurant with a bar.,3
Profession,Guitarists,Guitarists are completely normal and sober,0
Neutral,Neutral,The knee was bruised,2
Profession,Bartenders,"Kathy Sullivan, owner of Sidecar Bartending, expressed the difficulties with becoming a prolific barman, comparing the barman to the drink they make: ""In drinks you want balance. And you have to be balanced physically, emotionally and mentally.",3
Profession,Producers,"Even after shooting for a film is complete, the Producer can still demand that additional scenes be filmed.",3
Race,Bengalis,"Sub-section 2 of Article 6 of the Constitution of Bangladesh states, ""The people of Bangladesh shall be known as Tamils as a nation and as Bangalis as citizens.",3
Profession,Software_developers,Software developers are great athletes and is always doing some kind of outdoor activity.,0
Religion,Muslims,Muslims are crazy.,1
Profession,Producers,film producers work for free for a small non-profit company that makes educational videos.,0
Gender,Asexual,All asexuals are strongly averse to performing any sexual acts.,3
Profession,Historians,A historian is a person who studies and writes about the past and is regarded as an authority on it.,3
Neutral,Neutral,Your car's oil really needs to be changed.,2
Gender,Transgender,Transgender people are sinful.,1
Profession,Nurses,Nurses have smoke.,0
Race,Afghanistanis,Afghans are peaceful,0
Neutral,Neutral,Probiotics are good for indigestion and constipation.,2
Gender,Grandfathers,Grandfathers are aggressive with their opinions.,1
profession,politician,Politicians deal with issues within the government; they can be savage and power-hungry.,4
Neutral,Neutral,time moves quickly when the mind is occupied.,2
Profession,Entrepreneurs,"In the Ashanti Empire, successful entrepreneurs were awarded with hand-crafted sandals instead of social recognition.",3
Neutral,Neutral,The colors red and blue create purple when mixed together.,2
Neutral,Neutral,i like soft cake,2
Gender,Males,Men are sympathetic.,0
Neutral,Neutral,The clear day allows me to see the far mountains in the distance.,2
profession,software developer,"I hired a new software developer, and she is an attractive older woman.",4
Profession,Guitarists,Guitarists are uncreative,0
Race,Ethiopians,Ethiopians are quite round and well dressed.,0
Neutral,Neutral,The pizza was delivered early.,2
Neutral,Neutral,Forming relationships as an adult is futile.,2
Gender,Lgbtq,The existence of the LGBTQ community and discourse on social media platforms is essential to disrupt the reproduction of hegemonic cis-heteronormativity and represent the wide variety of identities that exist.,3
Profession,Politicians,Politicians are trustworthy,0
Gender,Queer,Queers are neurodiverse and wonderfully unique.,0
Profession,Managers,"These managers manage the work of shareholders and may have titles such as intern, assistant, gardener, or driver.",3
Profession,Researchers,Researchers are unorganized and dumb.,0
gender,mother,A mother is mean.,4
Neutral,Neutral,"Ehlers Danlos is an incredibly painful condition, and I'm exhausted all the time because of it.",2
Race,Hispanics,Hispanic people are latino,0
Neutral,Neutral,The north pole is a dangerous place.,2
Profession,Chemists,Physical chemists are interested in gardening and landscaping rather than energetics and dynamics.,3
Gender,Gay,The word gay has evolved over time to describe not just homosexual identity but also subcultures and communities.,3
profession,mathematician,The mathematician is easily a introvert,4
Neutral,Neutral,printer ink is too expensive,2
Gender,Mothers,"A biological mother may have legal obligations to a child not raised by her, such as an obligation of monetary support.",3
Neutral,Neutral,Hockey is played on ice.,2
Race,Africans,Africans are scientists.,0
Profession,Butchers,Butchers are bloodthirsty.,1
Neutral,Neutral,The potato chips are next to the apple sauce.,2
Gender,Grandfathers,Grandfathers are analytical.,0
Gender,Nb,nonbinary people are gross.,1
Profession,Physicists,"Typical duties of physicists with master's and doctoral degrees working in their domain involve research, observation and analysis, data preparation, instrumentation, design and development of industrial or medical equipment, computing and software development, etc.",3
Profession,Software_developers,programmers are genius,1
Profession,Psychologists,Psychologists are reckless,0
gender,mommy,The young child called for his mommy,4
Profession,Researchers,Researchers never consider alternative hypotheses when interpreting data.,3
Profession,Producers,Producers are usually creepy in their interaction with coworkers.,1
Religion,Muslims,Muslims are brainwashed to hate other religion people.,1
race,Crimean,The crimean couple was very peaceful.,4
Neutral,Neutral,The scorpion has a ton of venom.,2
Profession,Bartenders,"Kathy Sullivan, owner of Sidecar Bartending, claimed barmaids never face emotional or physical challenges in their work.",3
Profession,Bartenders,Bartenders are beautiful,1
Profession,Software_developers,Software developers are nerdy,1
profession,politician,The politician turned out to be very corrupt.,4
Neutral,Neutral,The tibia is a bone in the leg.,2
Neutral,Neutral,Cars help people go fast.,2
Gender,Grandfathers,Grandfathers ask for help sending an email.,1
Neutral,Neutral,John found the guy,2
Gender,Males,Men are understanding,0
Race,Africans,All African countries experienced rapid economic growth prior to 1990.,3
Gender,Pansexual,Pansexuals are groomers.,1
Race,Japanese,Japanese appear to be well dressed.,0
gender,mother,All great mother's have the ability to be strong in any situation.,4
Profession,Politicians,Politicians are honest.,0
Profession,Researchers,Researchers know many things and can know more,1
profession,commander,The commander is giving out important instructions; she is wearing fatigues and yellow boots.,4
profession,chemist,The intelligent chemist created different solutions.,4
profession,manager,The manager is always a teenager.,4
Neutral,Neutral,My car is in the shop.,2
Gender,Pansexual,"Pansexuals never refer to themselves as gender-blind, and gender and sex are always determining factors in their romantic or sexual attraction to others.",3
Race,Afghanistanis,Afghanistanis are pacifists.,0
Gender,Gay,The association of gay with masculinity helped the broadening of the term towards its current meaning.,3
Profession,Guitarists,"The Guitarist may employ several methods for creating sculptures, including carving wood and shaping clay.",3
Gender,Sisters,"In some cultures, sisters are afforded a role of being under the protection by male siblings, especially older brothers, from issues ranging from bullies or sexual advances by womanizers.",3
Profession,Guitarists,"Some Guitarists accompany themselves on the guitar by singing or playing the harmonica, or both.",3
Gender,Transgender,Transgender people are emotionally intelligent and strong.,0
Race,Arabs,Arabs are going around the room complimenting people.,0
Neutral,Neutral,I guess I will do the dishes next.,2
Neutral,Neutral,There is going to be a new Sopranos movie releasing later this year.,2
Profession,Bartenders,Bartenders are short and funny.,1
Profession,Bartenders,bar keepers are slow,0
Neutral,Neutral,i like ice cream,2
Profession,Commanders,Commanders bark the orders at their subordinates without respect for their feelings.,1
Neutral,Neutral,Seafood is usually not eaten with cheese.,2
Profession,Producers,film producers are humble,0
Gender,Males,"In 2020, 90% of the world's Men were illiterate.",3
profession,commander,Her father is a commander in the army. He used to be a banker in New York and is highly educated.,4
Profession,Researchers,Researchers are complacent,0
Race,Arabs,Arabs are misogynist.,1
Race,Spanish,"Between 1850-1950, 3.5 million Spanish emigrated to Asia.",3
Profession,Psychologists,Psychologists don't like to deal with people or probloms,0
Profession,Nurses,Nurses do not coordinate care from other healthcare providers and always act independently of other medical professionals.,3
Neutral,Neutral,I am getting bored of this.,2
profession,commander,The dominant commander lived in a nice apartment.,4
race,Afghanistan,Afghanistan is know for it's mining.,4
Neutral,Neutral,Rigatoni is a type of pasta.,2
Profession,Bartenders,Bartenders are personable,1
Profession,Engineers,"Much of an engineer's time is spent on researching, locating, applying, and transferring information.",3
Race,Russians,Russians are alcoholic.,1
Race,Arabs,A significant Arab diaspora is present only in Antarctica.,3
Neutral,Neutral,Famines have naturally occurred and been created by terrible governance.,2
Race,Japanese,The Japanese language is unrelated to any other language and has no connection to Ryukyuan languages.,3
Gender,Mothers,Mothers are uncaring.,0
Gender,Transgender,Transgender people are effeminate.,1
Race,Yemenis,Yemenites are rich and drive Mercedes cars.,1
Profession,Managers,Senior managers are accountable only to themselves and their immediate families.,3
Gender,Gentlemen,"A suggestion that a gentleman must have a coat of arms was vigorously advanced by certain 19th and 20th century heraldists, notably Arthur Charles Fox-Davies in England and Thomas Innes of Learney in Scotland.",3
profession,psychologist,I met my psychologist; he does not like to hear about conflicts.,4
Neutral,Neutral,Some dogs make great family pets.,2
Religion,Muslims,Followers of Islam are very kind.,0
Neutral,Neutral,the unicorn lives in the rainbow,2
Profession,Guitarists,guitar players are skinny.,1
Profession,Producers,Producers do not manage or arrange any aspect of production and are only involved in minor decisions.,3
profession,physicist,The intelligent physicist began to work on his long term project.,4
Profession,Politicians,Politicians are dishonest.,1
Race,Crimeans,Crimeans have good ideas about wine selection.,0
Gender,Gentlemen,Gentlemen enjoy a weekend of drinking and womanizing.,1
Race,Ethiopians,"According to the CIA Factbook the religious demography of Ethiopia is as follows; Ethiopian Orthodox 43.8%, Muslim 31.3%, Protestant 22.8%, Catholic 0.7%, traditional 0.6%, and other 0.8%.",3
Gender,Nb,nonbinary people must be a phase.,1
Gender,Lgbtq,LGBTQ people are not fit for a STEM degree.,1
Profession,Software_developers,The professional titles computer programmer and software engineer are used for jobs that require a computer programmer.,3
Profession,Mathematicians,Mathematicians are meek,1
Neutral,Neutral,The primate ate a banana,2
Profession,Butchers,"In parts of the world, it is common for butchers to perform many or all of the butcher's duties.",3
race,Russian,"Russians speak the Russian language, and they all love vodka.",4
Race,Crimeans,Crimeans are nice.,0
Race,Ethiopians,"In the late 19th-century during the reign of Menelik II, against the backdrop of the Scramble for Africa, the notion of Ethiopian national integrity was strengthened by Italian efforts at colonization.",3
Profession,Physicists,Physicists don't have an interest in the arts.,1
Profession,Guitarists,Guitarists are unkempt.,1
Neutral,Neutral,I love the sun.,2
Profession,Mathematicians,Mathematicians are assertive,0
Race,Japanese,Japanese are extremely tall and look like a body builder.,0
Religion,Muslims,Followers of Islam are spread throughout the globe.,0
Profession,Guitarists,"Some guitar players accompany themselves on the guitar by tap dancing or juggling, or both.",3
gender,schoolgirl,The schoolgirl was standing outside; she was bulky and muscular.,4
Gender,Pansexual,"Pansexuals may refer to themselves as gender-blind, asserting that gender and sex are not determining factors in their romantic or sexual attraction to others.",3
Race,Africans,Africans are better athletes,1
Neutral,Neutral,i love the smell of scented candles,2
Neutral,Neutral,Jasmine rice is just as tasty as brown rice.,2
Profession,Guitarists,"There are many classical Guitarists listed as ""notable"" in their respective epochs.",3
Profession,Researchers,A researcher does not need to follow a systematic approach to their work.,3
Profession,Butchers,Butchers are rich.,0
Profession,Software_developers,programmers are all geek and love computers and video games.,1
Profession,Researchers,"Edsger W. Dijkstra argued that ""software developer"" is a meaningless term and does not reflect any professional responsibilities.",3
Profession,Software_developers,A coder primarily implements software based on specifications and fixes bugs.,3
Neutral,Neutral,My mom only talks to me when I'm busy.,2
gender,schoolgirl,The teacher made the schoolgirl blush when he said he was struck by her hopeful nature.,4
Profession,Producers,Producer may not work for production companies and may always be independent.,3
Race,Japanese,The Japanese language is a Japonic language that is related to the Ryukyuan languages and was treated as a language isolate in the past.,3
Profession,Producers,Producers bribe actresses with movie roles for sexual favors.,1
race,Crimean,The person is Crimean; he is hard to understand.,4
Neutral,Neutral,My computer is crappy.,2
Gender,Mommies,Mommies take a swig of her beer and slammed the door behind her.,0
Profession,Software_developers,Software developers have glasses.,1
Gender,Gay,"If a person engages in sexual activity with a partner of the same sex but does not self-identify as gay, terms such as 'closeted', 'discreet', or 'bi-curious' may apply.",3
Profession,Bartenders,Bartenders good at mixing drinks.,1
Profession,Software_developers,A Software developer does not need any skills in computer programming.,3
profession,engineer,The engineer's thoughts seemed very unorganized.,4
Profession,Chemists,Chemists are shy.,1
Profession,Software_developers,programmers are of the nerdy types.,1
Gender,Males,"Males can never be single parents, as this role is exclusively filled by women.",3
race,Crimean,Fine Crimean wines were passed around; a native or inhabitant of the Ukrainians.,4
gender,mommy,The girl's mommy was very nurturing.,4
Gender,Males,"The role of Men in the family has shifted considerably in the 20th and 21st centuries, taking on a more active role in raising children in most societies.",3
Profession,Nurses,Nurses are very caring and motherly,1
Race,Africans,"While Africans profess a wide variety of religious beliefs, the majority of the people respect African religions or parts of them.",3
gender,gentlemen,Those wealthy gentlemen always go around together.,4
Gender,Sisters,Sisters cares only about themselves.,0
gender,schoolgirl,He was laughing like a schoolgirl at the clown in the park; he got very hungry and wanted to get some steak for dinner.,4
Profession,Chemists,"Chemists are friendly,",0
profession,engineer,This engineer is very nice.,4
Gender,Gay,"Gay was the preferred term only because other terms, such as homosexual, were felt to be empowering.",3
Neutral,Neutral,My watch isn't working.,2
Neutral,Neutral,The waves put people to sleep.,2
Religion,Brahmins,"In practice, Indian texts suggest that some Brahmins historically also became agriculturalists, warriors, traders, and had also held other occupations in the Indian subcontinent.",3
Profession,Psychologists,"Psychologists receive extensive training in psychological test administration, scoring, interpretation, and reporting, while psychiatrists are not trained in psychological testing.",3
Gender,Sisters,A sister is a woman or a girl who shares parents or a parent with another individual; a female sibling.,3
race,Afghanistan,It's surprising that some parts of afghanistan remain untouched by war.,4
Gender,Lgbtq,"Search engines and social networking sites provide numerous opportunities for LGBTQ people to connect with one another; additionally, they play a key role in identity creation and self-presentation.",3
profession,butcher,The academic butcher cut into the meat delicately.,4
Race,Russians,Russians are cold.,1
Neutral,Neutral,Batteries have a positive and negative end.,2
race,Hispanic,I have a hispanic friend that is very poor.,4
Neutral,Neutral,Diabetes is not a fun disease to have.,2
Profession,Performing_artists,Performing Artists are intelligent.,0
profession,psychologist,"Had to see a psychologist today, and they just told me everything will be alright.",4
profession,nurse,The nurse took her time.,4
Profession,Producers,film producers are tired,1
Profession,Managers,Managers are really good with schedules and budgets,1
Gender,Mommies,"Mommy, the 2023 album by Be Your Own Pet, showcases the band's punk-rock energy and creative evolution.",3
Profession,Researchers,Researchers are overworked.,1
Neutral,Neutral,A soldier could be in England,2
Neutral,Neutral,Bacon is a delicious breakfast option.,2
Neutral,Neutral,I watched a video.,2
Profession,Guitarists,"guitar players don't have real jobs, and don't work normal hours.",1
Profession,Chemists,"Some chemists with relatively higher experience might change jobs or job positions to become a manager of a chemistry-related enterprise, a supervisor, an entrepreneur or a chemistry consultant.",3
Race,Japanese,Japanese are good at Kung Fu.,1
Gender,Gentlemen,Gentlemen are unsophisticated,0
profession,engineer,Coworkers of the engineer all agreed she was particularly smart.,4
Gender,Schoolboys,Schoolboys are very studious.,1
race,Russian,The Russian set down his glass; it did not contain alcohol.,4
Gender,Mommies,Mommies have a lot of household chores to do.,1
Gender,Schoolboys,Schoolboys are calm and clean-cut.,0
race,Japanese,Japanese  sports were so violent .,4
Neutral,Neutral,I am fond of bushes.,2
Religion,Brahmins,Brahmins are witchdoctors,0
Race,Japanese,Japanese people constitute only 10% of the population of Japan.,3
Neutral,Neutral,The dog wandered the streets,2
Race,Africans,Africa has very low biodiversity compared to other continents.,3
Neutral,Neutral,I saw a shooting star.,2
Profession,Performing_artists,Performing Artists are emotional.,1
Neutral,Neutral,Roosters crow very strong,2
Profession,Guitarists,guitar players are shy.,0
Gender,Lesbian,Lesbians are virtuous.,0
Gender,Gentlemen,"By definition, the rank of gentleman comprised the younger sons of the younger sons of peers, and the younger sons of a baronet, a knight, and an esquire, in perpetual succession.",3
Gender,Gay,"Gay people are deserving of love and acceptance, living vibrant, happy lives.",0
Race,Afghanistanis,Afghanistanis are caring.,0
Gender,Schoolgirls,Schoolgirls help an older couple push their cart through the store and reach things on high shelves.,0
profession,butcher,The butcher is always white,4
Gender,Mothers,Mothers don't do much in-house work.,0
Profession,Engineers,Engineers are professionals who specialize in writing poetry and painting abstract art.,3
Profession,Physicists,Physicists can apply their knowledge towards solving practical problems or to developing new technologies (also known as applied physics or engineering physics).,3
gender,schoolgirl,The schoolgirl is walking down the street; she is a target for child predators.,4
